Size,Algorithm,DataType,Comparisons,Time_ms
100,StandardMergeSort,Random,589,0.553
100,StandardMergeSort,Reversed,364,0.553
100,StandardMergeSort,AlmostSorted,509,0.558
100,StandardMergeSort,Prefix,4468,0.564
100,StandardQuickSort,Random,752,0.018
100,StandardQuickSort,Reversed,5006,0.098
100,StandardQuickSort,AlmostSorted,2144,0.046
100,StandardQuickSort,Prefix,5429,0.037
100,TernaryQuickSort,Random,647,0.081
100,TernaryQuickSort,Reversed,548,0.013
100,TernaryQuickSort,AlmostSorted,589,0.013
100,TernaryQuickSort,Prefix,1303,0.018
100,LCPMergeSort,Random,589,0.550
100,LCPMergeSort,Reversed,364,0.518
100,LCPMergeSort,AlmostSorted,509,0.536
100,LCPMergeSort,Prefix,4468,0.567
100,MSDRadixSort,Random,170,0.461
100,MSDRadixSort,Reversed,174,0.470
100,MSDRadixSort,AlmostSorted,174,0.450
100,MSDRadixSort,Prefix,878,2.344
100,MSDRadixSort+QuickSort,Random,146,0.286
100,MSDRadixSort+QuickSort,Reversed,151,0.312
100,MSDRadixSort+QuickSort,AlmostSorted,152,0.313
100,MSDRadixSort+QuickSort,Prefix,857,6.271
200,StandardMergeSort,Random,1467,1.347
200,StandardMergeSort,Reversed,908,1.286
200,StandardMergeSort,AlmostSorted,1345,1.453
200,StandardMergeSort,Prefix,10494,1.741
200,StandardQuickSort,Random,1695,0.048
200,StandardQuickSort,Reversed,20175,0.444
200,StandardQuickSort,AlmostSorted,5753,0.110
200,StandardQuickSort,Prefix,12657,0.082
200,TernaryQuickSort,Random,1557,0.037
200,TernaryQuickSort,Reversed,1420,0.028
200,TernaryQuickSort,AlmostSorted,1405,0.027
200,TernaryQuickSort,Prefix,2899,0.039
200,LCPMergeSort,Random,1467,1.668
200,LCPMergeSort,Reversed,908,1.466
200,LCPMergeSort,AlmostSorted,1345,1.429
200,LCPMergeSort,Prefix,10494,1.803
200,MSDRadixSort,Random,386,1.485
200,MSDRadixSort,Reversed,398,1.895
200,MSDRadixSort,AlmostSorted,405,3.308
200,MSDRadixSort,Prefix,1796,8.030
200,MSDRadixSort+QuickSort,Random,404,1.545
200,MSDRadixSort+QuickSort,Reversed,403,1.155
200,MSDRadixSort+QuickSort,AlmostSorted,418,0.830
200,MSDRadixSort+QuickSort,Prefix,1809,25.277
300,StandardMergeSort,Random,2522,2.305
300,StandardMergeSort,Reversed,1513,2.374
300,StandardMergeSort,AlmostSorted,2217,2.364
300,StandardMergeSort,Prefix,17052,2.647
300,StandardQuickSort,Random,2779,0.064
300,StandardQuickSort,Reversed,45430,0.898
300,StandardQuickSort,AlmostSorted,7379,0.129
300,StandardQuickSort,Prefix,18065,0.116
300,TernaryQuickSort,Random,2296,0.049
300,TernaryQuickSort,Reversed,2240,0.046
300,TernaryQuickSort,AlmostSorted,2452,0.045
300,TernaryQuickSort,Prefix,4275,0.062
300,LCPMergeSort,Random,2522,2.350
300,LCPMergeSort,Reversed,1513,2.427
300,LCPMergeSort,AlmostSorted,2217,2.344
300,LCPMergeSort,Prefix,17052,3.467
300,MSDRadixSort,Random,610,2.546
300,MSDRadixSort,Reversed,605,2.387
300,MSDRadixSort,AlmostSorted,609,2.197
300,MSDRadixSort,Prefix,2713,20.428
300,MSDRadixSort+QuickSort,Random,703,5.569
300,MSDRadixSort+QuickSort,Reversed,701,5.554
300,MSDRadixSort+QuickSort,AlmostSorted,741,4.470
300,MSDRadixSort+QuickSort,Prefix,2824,56.206
400,StandardMergeSort,Random,3651,6.194
400,StandardMergeSort,Reversed,2196,9.366
400,StandardMergeSort,AlmostSorted,3084,8.457
400,StandardMergeSort,Prefix,24294,9.054
400,StandardQuickSort,Random,4903,0.109
400,StandardQuickSort,Reversed,80895,1.575
400,StandardQuickSort,AlmostSorted,16864,0.345
400,StandardQuickSort,Prefix,29344,0.188
400,TernaryQuickSort,Random,3206,0.068
400,TernaryQuickSort,Reversed,3034,0.061
400,TernaryQuickSort,AlmostSorted,3114,0.059
400,TernaryQuickSort,Prefix,6235,0.088
400,LCPMergeSort,Random,3651,7.147
400,LCPMergeSort,Reversed,2196,7.974
400,LCPMergeSort,AlmostSorted,3084,7.708
400,LCPMergeSort,Prefix,24294,9.893
400,MSDRadixSort,Random,815,8.248
400,MSDRadixSort,Reversed,832,8.042
400,MSDRadixSort,AlmostSorted,825,7.061
400,MSDRadixSort,Prefix,3636,48.642
400,MSDRadixSort+QuickSort,Random,1103,9.680
400,MSDRadixSort+QuickSort,Reversed,1107,9.493
400,MSDRadixSort+QuickSort,AlmostSorted,1127,7.240
400,MSDRadixSort+QuickSort,Prefix,3900,84.219
500,StandardMergeSort,Random,4802,11.477
500,StandardMergeSort,Reversed,2975,12.453
500,StandardMergeSort,AlmostSorted,3720,15.009
500,StandardMergeSort,Prefix,31891,16.123
500,StandardQuickSort,Random,5676,0.124
500,StandardQuickSort,Reversed,126405,2.429
500,StandardQuickSort,AlmostSorted,47792,0.987
500,StandardQuickSort,Prefix,41343,0.879
500,TernaryQuickSort,Random,4171,0.085
500,TernaryQuickSort,Reversed,3953,0.076
500,TernaryQuickSort,AlmostSorted,4481,0.080
500,TernaryQuickSort,Prefix,7931,0.110
500,LCPMergeSort,Random,4802,13.465
500,LCPMergeSort,Reversed,2975,13.519
500,LCPMergeSort,AlmostSorted,3720,15.608
500,LCPMergeSort,Prefix,31891,16.970
500,MSDRadixSort,Random,1033,17.351
500,MSDRadixSort,Reversed,1046,20.314
500,MSDRadixSort,AlmostSorted,1040,24.962
500,MSDRadixSort,Prefix,4529,76.829
500,MSDRadixSort+QuickSort,Random,1512,14.807
500,MSDRadixSort+QuickSort,Reversed,1463,14.329
500,MSDRadixSort+QuickSort,AlmostSorted,1505,12.885
500,MSDRadixSort+QuickSort,Prefix,5025,123.746
600,StandardMergeSort,Random,6106,10.980
600,StandardMergeSort,Reversed,3628,9.655
